sourcil,眉
passer,ふるいにかける 漉す
fouetter,泡立てる
allonger,薄める　のばす
casserole,（片手）鍋
marmite,（両手）鍋、深鍋
cocotte,ココット、（蓋・取っ手付き）鍋
bouilloire,やかん
poêle,フライパン
bol,ボール　椀
saladier,サラダボール
couteau,包丁　ナイフ
vaisselle,食器類
cuiller/cuillère,スプーン
fourchette,フォーク
assiette,皿　取り皿
tasse,カップ　茶碗
verre,グラス　コップ
louche,おたま　レードル
carafe,カラフ　水差し
serviette,ナプキン
évier,台所の流し
cuisinière,レンジ
four,オーブン
torchon,ふきん　雑巾
décapsuleur,栓抜き
tire-boucon,コルク抜き
ouvre-boîte,缶切り
logement,住宅
pièce,部屋
chambre,部屋　寝室
salle,（共用の）部屋
cuisine,キッチン
escalier,階段
couloir,廊下
plancher,床
plafond,天井
étage,階
ascenseur,エレベータ
vestibule,玄関　ロビー
meuble,家具
buffet,食器棚
rideau,カーテン
armoire,開き戸のタンス
bibliothèque,本棚、本箱
chaise,椅子
couverture,掛け布団、毛布
drap,シーツ
tapis,カーペット
nappe,テーブルクロス
oreiller,枕
poubelle,屑入れ、ゴミ箱
pendule,置き時計
coussin,クッション
pile,電池
fer,アイロン
réfrigérateur,冷蔵庫
lampe,ランプ 電灯
chauffage,暖房
chaîne,ステレオセット　システムコンポ
aspirateur,掃除機
climatiseur,エアコン　空調装置
ventilateur,扇風機　送風機
lave-vaisselle,食器洗い機
sécher,乾かす
robot ménager,フードプロセッサ
(four à) micro-ondes,電子レンジ
radiateur,ヒーター　暖房器
congélateur,冷凍庫
lecteur,オーディオ再生装置
courses,買い物
réclamation,クレーム　苦情
reçu,レシート　領収書
hores taxes,免税の
repasser,アイロンをかける
laver,洗う
lessive,洗濯　洗剤
couche,おむつ
biberon,哺乳瓶
arroser,水をやる
tondre,刈る
repeindre,塗り替える
balayer,履く
essuyer,拭く
jouet,おもちゃ
vitre,窓ガラス
après-demain,あさって
avant-hier,おととい
hebdomadaire,週ごとの
mensuel,月ごとの
annuel,毎年の　一年間の
calendrier,カレンダー
fête,祝日
Pâques,復活祭　イースター
suite,続き
cours ,流れ、経過
milieu,真ん中
achever,完成する、なし終える
bout,終わり　果て
autrefois,昔
antique,古代の
clair,明るい
éclairer,照らす
rayon,光線
sombre,暗い
obscur,暗い　
ombre,陰　影
ton ,色調
gris,灰色の
foncé,色が暗い　濃い
foncer,色を暗くする
vif/vive,鮮やかな
peindre,塗る
tort,間違い
faux/fausse,間違った　偽の
faute,間違い　誤り
court,短い
étroit,狭い
lourd,重い
plat,平らな
pointu,とがった
carré,正方形の　四角い
rond,丸い
cercle,円　環
droit,まっすぐな
plein,いっぱいの
remplir,満たす
vider,空にする
vide,からの
moitié,半分
demi-,半分の
plupart,大部分
tant,それほど、多くの
grave,重大な
formidable,ものすごい　すごくいい
propre,清潔な
sale,汚い
hospitaliser,入院させる
blessé,けが人
consulter,診察を受ける
soins,看護　手当て
infirmier/infirmière,看護師
transfusion,輸血
anesthésie,麻酔
piqûre,注射
rééducation,リハビリテーション
donneur/donneuse,ドナー 臓器提供者
transplanter,移植する
respirartion,呼吸
se blesser,けがをする
fièvre,熱
se brûler,やけどする
se guérir,治る
crise,発作　病状の急変
tousser,咳をする
démanger,かゆい
troubles,（心身の）障害
vertige,めまい
nausée,吐き気
rhumu,風邪
grippe,インフルエンザ
diarrhée,下痢
sida,エイズ
fracture,骨折
intoxication,中毒
diabète,糖尿病
constipation,便秘
chirurgien,外科医
dentiste,歯科医
oculiste,眼科医
oto-rhino-laryngologiste,耳鼻咽喉科医
pédiatre,小児科医
gynécologie,婦人科学
ordonnance,処方箋
ordonner,処方する
dose,服用量
effet,薬の効き目、効果
efficace,効き目のある
cachet,錠剤　カプセル　薬包
pilule,ピル　経口避妊薬
pommade,軟膏
gouttes,目薬
calmer,鎮める
désinfecter,消毒する
pansement,包帯
panser,包帯をする
sain,健康な　健康に良い
pouls,脈拍
examen,検診
régime,食餌療法 ダイエット
grossir,太る
s'abstenir,慎む
grossesse,妊娠
se remettre,回復する
règles,生理
rivière,川
champs,野原　畑
île,島
rocher,岩
volcan,火山
vague,波
plage,浜辺　海水浴場
vallée,谷　流域
pôle,極　極地
carte,地図
météorique,流星の
comète,彗星
bête,動物　けもの
mouton,羊
cerf,鹿、雄鹿
renard,狐
loup,狼
éléphant,象
ours,熊
baleine,鯨
coq,雄鶏
canard,アヒル　鴨
moineau,スズメ
hirondelle,ツバメ
chouette,ふくろう
corbeau,カラス
serpent,蛇
grenouille,カエル
insecte,昆虫
coquillage,貝
herbe,草
arbre,木
feuille,葉
bouton,芽　つぼみ
épine,とげ
racine,根
tronc,幹
branche,枝
tige,茎
graine,種　種子
fruit,果実　実　果物
muguet,スズラン
lis,ユリ
