pêcher,魚を釣る
se peigner,髪を櫛でとかす
peler,皮を剥く
pendre,つるす、絞首刑にする
percevoir,知覚する、〈利子・家賃・税金など〉を徴収する
périr,命を落とす
peser,重さを量る、慎重に検討する
pianoter,ピアノを下手に叩く
plaindre,気の毒に思う
se plaindre,不平を言う
plaire,気に入る
plaisanter,冗談を言う
planter,植える
plier,折る、曲げる
plonger,飛び込む、潜る
pondre,産む、産卵する
poser,置く、取り付ける
posséder,所有している、精通している
poursuivre,追いかける、つきまとう、追い求める
prédire,予言する
prescrire,処方する
présenter,紹介する、提示する
pressentir,予感する、以降を打診する
presser,押す、搾る、急がせる
prétendre,言い張る
prêter,貸す
prévaloir,勝る、優位に立つ
se prévaloir,
prévenir,前もって知らせる、予告する、通報する、予防する
prévoir,予想する、予測する、予定する、用意する
prier,祈る
projeter,計画する
proscrire,追放する、禁止する
prouver,証明する
puer,悪臭を発する
punir,罰する
ralentir,速度を緩める、スピードを落とす
ranger,片付ける、整理する、きちんと並べる
rassurer,安心させる
rater,乗り損なう、失敗する、失敗に終わる
ravir,うっとりさせる
reconduire,送って行く、見送る
reconstruire,再建する、復興する
recoudre,縫い直す
recourir,助けを求める、頼る、訴える
recouvrir,覆う、覆い隠す
récrire,書き直す、リライトする
recueillir,集める、収集する
rédiger,文書を作成する、起草する
redire,再び言う、くり返し言う
réduire,減らす
réélire,再選する
rejoindre,再び一緒になる、合流する
relire,読み返す、再読する
remarquer,気づく、注目する、指摘する
remettre,戻す、再び着る、さらに加える、延期する
renoncer,あきらめる、放棄する、やめる
renouveler,新しくする、更新する、繰り返す
renvoyer,送り返す、帰す、追い出す、解雇する
répandre,こぼす、撒き散らす
reparaître,
réparer,修理する
repasser,アイロンをかける、再び通る
repeindre,塗り替える
se repentir,罪を悔いる、後悔する
repérer,位置を割り出す
reprendre,取り戻す
réprimander,叱責する
résoudre,解く、解決する
ressembler,似ている
ressentir,感じる
restreindre,制限する
retenir,引き止める、制止する
revendiquer,
revêtir,
riposter,言い返す、反撃する
rompre,関係を断つ、断絶する
rouler,転がる、
rouvrir,再び開く
saisir,つかむ
salir,汚す
sauter,飛ぶ、飛び移る
secouer,揺り動かす、振り払う
secourir,救う、救護する
séduire,魅惑する
sembler,〜のように思われる
serrer,締める、締め付ける、握りしめる
siffler,口笛を吹く
signaler,知らせる、指摘する
signer,署名する
songer,〜のことを考える、〜を気にかける
sonner,鳴る、呼び鈴を鳴らす
souffler,息を吐く、息を吹きかける
souffrir,苦しむ
souiller,汚す、汚染する
soumettre,服従する、提出する
sourire,微笑む
souscrire,〈公債など〉に応募する，〈事業など〉に出資する；〈出版物〉を予約する
subir,〈被害・影響など〉を受ける，被る
subvenir,必要なものを供する、援助を与える
sucer,吸う、しゃぶる
succomber,死亡する、降伏する
suffire,十分である
suggérer,提案する
supplier,乞い願う、懇願する、哀願する
surprendre,驚かせる
survenir,突発する、突然起こる
survoler,上空を飛ぶ、
tapoter,軽く叩く、
teindre,染める
tendre,ぴんと張る
tenter,試みる
tirer,引く、引っ張る
tondre,短く刈る
tonner,雷が鳴る
tordre,ねじる、ゆがめる
tousser,せきをする
tracer,〈線〉を引く, 〈図形など〉を描く
traiter,扱う、治療する
transparaître,透けて見える
traverser,横断する、貫通する
tressaillir,身震いする
tricher,不正行為をする
unir,結びつける、連合させる
user,すり減らす、消費する、体力が尽きる
vaincre,打ち勝つ、克服する
vanter,ほめそやす、自慢する
varier,変わる
veiller,夜更かしする、寝ずの番をする
venger,復習をする
verdir,緑色になる
verser,注ぐ、払い込む
vêtir,服を着せる
vieillir,年をとる
viser,ねらう、対象とする
voiler,ベールで覆う、覆い隠す
voter,投票する
zébrer,縞々をつける
zézayer,
zoner,区域分けする、ゾーンにわける
frissonner,震える、身震いする
rêvasser,夢想にふける
s'en aller+現在分詞,しだいに〜する
s'amuser,楽しむ
apprécier,高く評価する
s'arrêter,止まる、立ち止まる、立ち寄る
assiéger,包囲する
baver,よだれをたらす
brancher,プラグを差し込む、接続する
croître,成長する、増大する
se débrouiller,なんとかやってのける、切り抜ける
décroître,減少する
se dépêcher,急ぐ
émouvoir,感動させる、動揺させる
enduire,塗る、塗装する
s'étendre,横になる、広がる
s'évanouir,気を失う
s'exclure mutuellement,両立しない
s'excuser,あやまる
se fâcher,気を悪くする、腹を立てる
se fier,信頼する、信用する
fuir,逃げる
se méfier,用心する
se méprendre,取り違える、思い違いをする
se mettre,身を置く、身につける
mirer,〈卵〉を光に透かして検査する、
modeler,形を作る
mouvoir,動かす、
s'occuper,世話をする、面倒を見る
se plaindre,不平を言う
se presser,押し合う、ひしめく、殺到する
se rappeler,思い出す、覚えている
se reposer,休む、休息を取る
se retirer,立ち去る、引退する
se sauver,逃げる、逃走する
sécher,乾かす
se servir,役立つ
se taire,黙る
